stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,vehicle_type
1:LBLIDO,,Lido,,42.81158060,3.03719020,,,1,,0,
1:PELIPP,,Lippman,,42.69219020,2.86003350,,,1,,0,
1:PELLOB,,Llobères,,42.69689940,2.94271050,,,1,,0,
1:LLLLUP,,Llupia,,42.61680480,2.76923470,,,1,,0,
1:LLMIMO,,Llupia Mimosas,,42.62369170,2.76467760,,,1,,0,
1:CNLOGE,,Loge de Mer,,42.70111650,3.02759450,,,1,,0,
1:FELOTI,,Lotissement,,42.67969510,2.74340360,,,1,,0,
1:PELURC,,Lurçat,,42.69085500,2.90852630,,,1,,0,
1:RILYCA,,Lycée Agricole,,42.76543010,2.86906020,,,1,,0,
1:PELYAR,,Lycée Arago,,42.69526370,2.88735160,,,1,,0,
1:PELMA1,,Lycée Maillol,,42.71775040,2.88643480,,,1,,0,
1:PELMA2,,Lycée Maillol,,42.71816420,2.88728720,,,1,,0,
1:PELMA3,,Lycée Maillol,,42.71718210,2.88739870,,,1,,0,
1:PELPIC,,Lycée Picasso,,42.69755520,2.92604950,,,1,,0,
1:LBLYDI,,Lydia,,42.83089070,3.03858850,,,1,,0,
1:CNMAPR,,Ma Prairie,,42.70119810,2.99919940,,,1,,0,
1:PEMADR,,Madrid,,42.68718280,2.84390980,,,1,,0,
1:LSMAIL,,Maillol,,42.77047530,2.99694480,,,1,,0,
1:FEMAIR,,Mairie,,42.68264950,2.73481440,,,1,,0,
1:VSMAIR,,Mairie,,42.72742830,2.98608640,,,1,,0,
1:LBMAIR,,Mairie - Le Barcarès,,42.78924170,3.03538530,,,1,,0,
1:NAMAIR,,Mairie - St-Nazaire,,42.66838640,2.99022700,,,1,,0,
1:ESMAIR,,Mairie St-Estève,,42.70898810,2.84601620,,,1,,0,
1:VRMAIR,,Mairie Vill.-la-Riv.,,42.69313040,2.80113290,,,1,,0,
1:PEMAJO,,Majorque,,42.69542300,2.89514720,,,1,,0,
1:CYMALV,,Malvoisie,,42.67854680,2.94614630,,,1,,0,
1:CNMARE,,Marenda,,42.68139830,3.03160230,,,1,,0,
1:MAMARE,,Marendes,,42.73416510,3.03218210,,,1,,0,
1:CNMIAM,,Marina,,42.70071340,3.03193490,,,1,,0,
1:LBMARI,,Marines,,42.83356670,3.03733650,,,1,,0,
1:CYMASA,,Mas Anglade,,42.68716810,2.93445290,,,1,,0,
1:PEMASB,,Mas Balande,,42.66709750,2.91838700,,,1,,0,
1:PEMBED,,Mas Bedos,,42.67709190,2.84778840,,,1,,0,
1:CYMASB,,Mas Bonique,,42.68219180,2.94975470,,,1,,0,
1:PEMBRU,,Mas Bruno,,42.69577410,2.86082820,,,1,,0,
1:CNMASB,,Mas Bruzy,,42.70822520,2.97699090,,,1,,0,
1:PEMASC,,Mas Cayrol,,42.68972300,2.83251170,,,1,,0,
1:RIMASG,,Mas de la Garrigue,,42.78336670,2.89913220,,,1,,0,
1:RAMASR,,Mas de la Raho,,42.63889500,2.91517660,,,1,,0,
1:CYMASF,,Mas Ferrer,,42.68942660,2.94220930,,,1,,0,
1:LSMASF,,Mas Fleuri,,42.77058590,2.98221220,,,1,,0,
1:CYMASG,,Mas Guérido,,42.69202600,2.92160400,,,1,,0,
1:CNMASL,,Mas Llaro,,42.70656780,2.95384490,,,1,,0,
1:CNMASM,,Mas Miraflor,,42.70947840,2.97095910,,,1,,0,
1:RAMASP,,Mas Palégry,,42.65597720,2.90654550,,,1,,0,
1:BOMASP,,Mas Pams,,42.72958560,2.93504980,,,1,,0,
1:TOMAPS,,Mas Puig-Sec,,42.67306900,2.82708700,,,1,,0,
1:PEMSTJ,,Mas St-Joseph,,42.69818110,2.93607850,,,1,,0,
1:PEMSTP,,Mas St-Pierre,,42.69278800,2.94420720,,,1,,0,
1:BOMAST,,Mas Taillant,,42.71897790,2.92717300,,,1,,0,
1:PEMASV,,Mas Vermeil,,42.69433950,2.93600490,,,1,,0,
1:CAMASS,,Massaguères,,42.65334310,2.83198170,,,1,,0,
1:PEMANE,,Massane,,42.69793700,2.87096490,,,1,,0,
1:PEMAS1,,Massilia,,42.69998930,2.93319460,,,1,,0,
